# 冷宫有妖气_第3集_配音文案
# 格式：[镜头·角色·情绪] 文本。旁白沉稳，小妖嘶哑诡异，蛇妖阴柔慵懒，系统机械冷感。

[镜头1·沈念旁白·冷] 午夜，正是它们觅食的时候。
[镜头3·鳞片妖·贪婪嘶哑] 啧啧，这猫肉就是嫩。
[镜头4·裂口妖·难听冷笑] 快吃完，今晚还得去东院"收租"，这月轮到那个张才人。
[镜头4·沈念旁白·冷] 收租？它们是把人命当租金在收。
[镜头5·鳞片妖·咧嘴] 哟，这不是林贵妃吗？贵妃的血，可比才人香多了。
[镜头6·裂口妖·惊变] 等等……她身上的味道不对，闻起来像妖……很强的妖！
[镜头6·鳞片妖·嗤笑] 一个废妃，能是什么妖？
[镜头8·裂口妖·颤抖] 这……这不可能……
[镜头8·沈念·冷酷] 谁先来？还是一起上？
[镜头9·沈念·淡漠] 你太慢了。
[镜头10·系统机械音·冷感] 击杀小妖三只，经验+30。炼化妖血，当前80/100。
[镜头10·沈念·自语] 还差20点……
[镜头11·沈念·沉静] 我知道你在下面。上来，我们谈谈。
[镜头12·蛇妖·阴柔慵懒] 一个废妃，身上流着上古妖血，还敢独自来找我？
[镜头12·系统机械音·冷感] 百年蛇妖，银牌妖位初期。威胁等级：中高。
[镜头13·蛇妖·玩味贪婪] 吃掉你，我或许能化蛟成龙。后天晚上我设宴，你来不来？
[镜头13·沈念·平静] 来。
[镜头14·蛇妖·幽幽] 到时候见，林贵妃。
[镜头14·沈念旁白·锋利] 鸿门宴？我会让这条蛇知道——谁才是真正的猎人。
