# 冷宫有妖气_第4集_配音文案
# 格式：[镜头·角色·情绪] 文本。旁白沉稳，蛇妖前半风雅、后半阴冷粗嘶，系统冷感。

[镜头1·小禾·哽咽低沉] 最可怜的是张才人……前阵子被那井里的东西，拖走了。
[镜头1·沈念·按手坚定] 以后，不会了。
[镜头2·系统机械音·冷感] 击杀精怪五只，经验+5。当前85/100。
[镜头2·沈念·不满自语] 精怪经验太少……还差15点。
[镜头3·废妃旁白·窃语惊讶] 那是林贵妃？她怎么……像变了个人似的？
[镜头4·蛇妖·风雅] 林贵妃，请坐。
[镜头4·沈念·坦然] 多谢款待。
[镜头5·蛇妖·漫不经心藏锋] 听说你杀了皇后派来的柳娘子？她死时，可是化作了一团黑烟。
[镜头5·沈念·平静] 她想杀我，我只是自卫。
[镜头6·蛇妖·阴] 我想说，林贵妃——你不是普通人。
[镜头7·沈念旁白·冷静] 妖气暴虐，灵力平和。只要伪装得当，就能瞒过你。
[镜头8·蛇妖·了然松懈] 原来如此……不过是练过几年养生功法的普通人罢了。
[镜头8·沈念旁白·暗喜] 上钩了。
[镜头9·蛇妖·轻视] 林贵妃，好酒量。
[镜头10·蛇妖·含笑] 今天就到这里吧，我送贵妃回去。
[镜头11·蛇妖·阴冷骤变] 我改主意了。你身上的味道不对——那不是灵力，是妖血。很古老、很强大的妖血。
[镜头12·蛇妖·粗重嘶哑] 吃了你，我就能化蛟成龙——今晚，就是我的造化之夜！
[镜头13·沈念旁白·沉静] 来了。
[镜头14·沈念旁白·冷锐] 百年道行……正好，拿来给我升级。
