# 冷宫有妖气_第10集_配音文案
# 旁白沉稳·略带史诗压迫感（与第9集风格一致）；沈念从容淡定带锋利、关键台词冷峻有杀气；鼠精尖细打颤夸张；小禾担忧紧张；皇帝（闪回不出声·画面演）。
# 本集是沈念心理戏+决策戏——无打斗，张力靠"冰锥微操+'因为他怕我'断言+远望太极殿独白钩子"撑起。

[镜头1·旁白·低沉] 翠微死后的第七天，冷宫外多了一些新面孔。
[镜头1·鼠精·尖细压低] 娘娘，这几天经常有人在冷宫外面转悠。不是侍卫，是便衣。他们穿着普通太监的衣裳，但走路的步伐和下盘都很稳，像是练家子。
[镜头2·沈念心声·淡] 便衣？练家子？这就有意思了。
[镜头3·沈念·淡] 多少人？
[镜头3·鼠精·掰指汇报] 三到五个，轮班的。白天两个，晚上三个。他们不会靠近冷宫，只是在远处监视。
[镜头4·沈念·从容断言] 是皇帝的人。
[镜头5·鼠精·尖细震惊] 皇帝？陛下为什么要监视娘娘？
[镜头6·沈念·一字一句·杀手锏] 因为他——怕我。
[镜头7·沈念·背影低语] 一个冷宫废妃，突然变得强大、自信，还能杀妖。换作你是皇帝，你怕不怕？
[镜头8·沈念心声·冷峻] 他不会动手——他怕我，但他更需要我。边境的妖王，他自己解决不了。
[镜头9·沈念·淡然] 不过怕归怕，他现在还需要我。边境妖患一天不解决，他就一天离不开我。所以他派人来——是监视，不是动手。
[镜头9·沈念心声] 这就够了。
[镜头10·小禾·小心翼翼] 娘娘，那……咱们怎么办？
[镜头11·沈念·从容平淡] 凉拌。
[镜头11·小禾·茫然] ……啊？
[镜头11·沈念·笑] 我的意思是——什么都不做。让他们监视去，我该修炼修炼、该吃饭吃饭。只要我不表现出对皇位有兴趣，皇帝就不会动我。
[镜头12·沈念·正色] 对了，小禾。你去打听一下，最近有没有机会见到陛下。
[镜头12·小禾·疑惑] 娘娘要见陛下？
[镜头12·沈念·目光投向窗外] 嗯。有一笔交易要谈。
[镜头13·沈念心声·锋利] 我已经不满足于在冷宫里苟且偷生了。我要走出去，站到朝堂上，站到权力中心。边境的妖王是我最好的投名状。而皇帝——是我最好的棋子。
[镜头13·沈念·几不可闻·钩子] 等着吧。很快——这座皇宫就会知道，谁才是真正的主宰。
[镜头13·旁白·沉稳收尾] 冷宫的猎手，已经把目光，投向了朝堂。
