# 冷宫有妖气_第15集_配音文案
# 旁白沉稳·略带紧张（狐妖二次现身银针淬毒+五品妖师警告+利刃出鞘）；沈念冷静沉稳+眯眼锐利+揉太阳穴疲惫+决定坚定+利刃出鞘钩子；小禾担忧关切+一愣震惊；**狐妖胡三郎本集声线丰富**——爽朗→笑容消失低沉→被噎结巴→正色辩解→压低声警告（多层情绪反差）；黑衣人沙哑低沉（仅回响）。

[镜头1·旁白·沉稳] 狐妖胡三郎——没有走远。
[镜头1·旁白·神秘] 沈念离开后花园时——他又从树后闪了出来。
[镜头1·胡三郎·笑拱手] 贵妃——留步。
[镜头1·沈念·停步不回头] 还有事？
[镜头2·胡三郎·笑眼神冷] 我刚才——忘了一件事。
[镜头2·沈念·短促] 什么事？
[镜头3·旁白·凝重] 胡三郎的尾巴从身后探出来——火红色的毛发在月光下像火焰一样跳动。
[镜头3·旁白·凝重] 他的手指间夹着三根银针——针尖泛着蓝光。
[镜头3·旁白·震撼] 淬了毒。
[镜头4·胡三郎·把玩银针] 丹方是真的——但我没有告诉你，丹方上的最后一味药材，整个大周朝只有一个人有。
[镜头4·沈念·转过身平静] 谁？
[镜头4·胡三郎·把玩银针] 太后。
[镜头4·胡三郎·继续] 清心丹需要千年寒铁做药引。千年寒铁是太后娘家祖传的宝物——藏在太后的寝宫里。你想得到它，就必须过太后那一关。
[镜头5·沈念·眯眼] 所以这丹方——给等于没给？
[镜头5·胡三郎·收起银针双手抱胸] 也不全是。至少你知道需要什么了。至于怎么拿到千年寒铁——那是你的事。
[镜头6·沈念·盯着] 你到底——想要什么？
[镜头6·旁白·凝重] 胡三郎的笑容——消失了。
[镜头6·胡三郎·声音低沉] 我想要你欠我一个人情。
[镜头6·胡三郎·继续低沉] 我杀不了赵铁衣，但你能。只要你帮我杀了他——以后我就是你的人。你让我做什么，我就做什么。
[镜头7·沈念·淡然平静] 你连我都打不过——我要你有什么用？
[镜头7·旁白·凝重] 胡三郎被噎了一下——脸上的笑容僵住了。
[镜头8·胡三郎·结巴→正色] 我……我虽然打不过你，但我擅长偷东西、打听消息、设陷阱。这些——你都不擅长。
[镜头8·旁白·沉稳] 沈念想了想——这话倒是不假。
[镜头8·沈念·点头] 好——我答应你。赵铁衣的事，等我从边境回来再说。
[镜头8·胡三郎·大喜拱手] 多谢贵妃！
[镜头9·胡三郎·转身回压低声] 对了——还有一件事。
[镜头9·胡三郎·压低] 皇后最近请了一个高手进宫，据说是五品妖师——专门对付你的。你要小心。
[镜头9·沈念·点头] 我知道了。
[镜头10·旁白·沉稳] 胡三郎——化作红烟消失。
[镜头11·小禾·关切] 娘娘——您没事吧？
[镜头11·旁白·沉稳] 沈念摇摇头——坐到床边，揉了揉太阳穴。
[镜头11·沈念·沉思低声] 小禾——你说，一个人要变得多强，才能不被任何人威胁？
[镜头12·小禾·歪头] 奴婢不知道——但奴婢觉得，娘娘现在已经很强了。
[镜头12·沈念·闭眼] 不够。
[镜头12·沈念·继续] 远远不够。
[镜头12·旁白·凝重] 她脑海中闪过黑衣人说的话——
[镜头12·黑衣人回响·叠化] 三个月——它们最多三个月就会到。
[镜头12·旁白·凝重] 三个月——她必须从银牌妖位晋升到金牌妖位，甚至更高。而最快的方式——杀妖。杀更多的妖，炼化更多的妖血。
[镜头13·旁白·沉稳] 沈念睁开眼——眼中闪过一道寒光。
[镜头13·沈念·坚定] 小禾——帮我准备一下。明天一早，我要去见皇帝。
[镜头13·小禾·一愣] 娘娘要——见陛下？
[镜头13·沈念·站起走向窗] 对。
[镜头14·沈念·望向太极殿] 边境的妖王，等不及了。我也等不及了。
[镜头14·旁白·沉稳] 她握紧拳头——暗金色的妖纹从手臂浮现，在月光下闪烁着冷冽的光芒。
[镜头14·旁白·沉稳收尾钩子] 这柄利刃——已经准备出鞘了。
[镜头14·旁白·沉稳收尾扩展钩子] 冷宫内有皇帝密旨+冷宫底有上古封印+冷宫外有南方十万大山妖王+宫中有皇后请的五品妖师——沈念明天清晨踏入朝堂——利刃出鞘。
