# 冷宫有妖气_第7集_配音文案
# 旁白沉稳；沈念前半冷静布局/演戏自然/后半冷淡威严；小禾紧张含泪；翠微前半温顺低声含锋/后半嘶哑狰狞→崩溃供出→求饶；鼠精尖细发抖；系统机械音冷感。

[镜头1·旁白·低沉] 翠微进冷宫的第三天，沈念决定试探她的底细。
[镜头1·沈念·压低冷静] 待会去打水，故意在她面前提一句——「娘娘每晚打坐一个时辰，不让人靠近，身上像在发光」。然后看她的反应。
[镜头1·小禾·紧张点头] 奴婢明白。
[镜头2·小禾·状似随口] 翠微姐姐，你说娘娘是不是变了个人？她每晚都要打坐一个时辰，不让我靠近——我偷瞄一眼，她身上好像在……发光。
[镜头3·翠微·语气平淡藏锋] 发光？……什么颜色的光？
[镜头3·小禾·歪头] 好像是……暗金色的。我也没看清。
[镜头3·翠微·假装平淡] 娘娘大概是信了佛，在念经吧。
[镜头4·无台词] [窗纸戳破极轻"嗤"·屏息]
[镜头5·沈念心声·冷] 让你看，又不让你看够。这才叫诱饵。
[镜头6·沈念·对空气] 看到了吧？
[镜头7·鼠精·尖细发抖] 大……大人，那个翠微，看到您身上的光，眼睛都红了——像是饿了很久的狼，看到肉！
[镜头7·沈念·冷点头] 她闻到我妖血的味道，动了贪念。
[镜头7·沈念心声] 她不会汇报皇后——她想独吞。
[镜头8·翠微·恭敬试探] 贵妃娘娘，奴婢斗胆——您昨夜……是在修炼什么功法吗？
[镜头8·沈念·警惕→叹气妥协] 你怎么知道？……既然被你看到了：小时候跟一个游方道士学过几手养生功法，最近身体不好，捡起来练练，没什么大不了的。
[镜头9·翠微心声·焦躁] 养生功法？我明明看到的是妖气！
[镜头9·沈念·平静] 她以为我是凡人修出来的妖气——只要吸了我的血，就能得到那股力量。今晚，她会动手。
[镜头9·小禾·脸色一白] 那……要不咱们先下手？
[镜头9·沈念·摇头] 不。我要她先出手——这样才名正言顺。
[镜头10·翠微·笑·柔] 贵妃娘娘，奴婢来给您送宵夜了。
[镜头10·沈念·睁眼] 翠微，子时送宵夜——你倒是贴心。
[镜头11·翠微·嘶哑狰狞] 贵妃娘娘——奴婢伺候您喝汤。
[镜头12·沈念·淡淡冷] 终于忍不住了？
[镜头12·翠微·瞪眼] 你……你也是妖？！
[镜头13·沈念·边闪边笑] 有意思。比柳娘子强多了……不过——青玉妖位中期？就这？
[镜头14·沈念·冰冷] 说，谁派你来的？皇后，还是另有其人？
[镜头14·翠微·崩溃喘] 是……是皇后！她抓了我家人……我们一共来了三个——柳娘子、我，还有一个——在御膳房，化名刘娘子，是我们三个里最强的！
[镜头15·沈念·冷] 你吃过人吗？
[镜头15·系统机械音·冷感] 击杀小妖·翠微，经验+10。当前经验 195/500，距下次升级还需 305 点。
[镜头15·沈念·叹气·钩子] 御膳房……刘娘子。又得换房间了。
