# 冷宫有妖气_第12集_配音文案
# 旁白沉稳·略带史诗压迫（与第9集风格一致）·神秘段（闪回+石室揭晓）+古琴泛音；沈念冷静沉稳+震撼时压抑+心动时心跳加速；小禾忧心可爱；**封印小女孩清脆稚嫩童声但淡定古老超出年龄·有 7-8 岁童音的纯净但内容是 300 年等待的沧桑反差**；鼠精尖细打颤。

[镜头1·旁白·低沉] 沈念不知道——皇帝已经为她写好了两道旨意：一道封赏，一道赐死。
[镜头1·旁白·沉重] 她只知道——冷宫里还有一只妖，没有处理。
[镜头1·旁白·神秘] 那只妖——不在槐树下，也不在后院假山里。它在枯井深处。
[镜头2·旁白·沉稳闪回] 蛇妖死后，沈念曾下过那口枯井。井底是一个巨大的地下洞穴——堆满了白骨。
[镜头2·旁白·神秘] 但在石床的后面，还有一条更深的通道。她走进去不到十步就退了回来——
[镜头2·旁白·凝重] 因为她感知到通道尽头有一股极其微弱的妖气，若有若无，像是风中的残烛。但那股妖气的质量——高得惊人。
[镜头3·旁白·沉稳] 三天后——她准备好了。
[镜头4·沈念·低] 小禾——今晚不管听到什么声音，都不要出来。
[镜头4·小禾·忧心] 娘娘——您又要去杀妖？
[镜头4·沈念·拍肩] 不是杀——是探。别担心，我不会有事的。
[镜头5·沈念·沉稳吩咐] 你们两个守在井口。有任何人靠近——就通知我。
[镜头5·旁白·沉稳] 如果半个时辰她没出来——你们就去找太后。
[镜头5·鼠精影妖·齐声] 是！
[镜头6·旁白·沉稳] 井很深，大约有十几丈。沈念在半空中释放妖气，减缓下落的速度——稳稳地落在井底的碎石堆上。
[镜头7·旁白·沉稳] 地下洞穴和三天前一样阴森。白骨、碎石、腐朽的布料——蛇妖的老巢已经被她翻过一遍，没什么有价值的东西。
[镜头8·旁白·神秘紧张] 通道只有一人宽，两壁是潮湿的岩石——长满了黑色的苔藓。
[镜头9·旁白·神秘震撼] 沈念眼前一亮——这是一个不大的石室，方圆不过两丈。但布置得极为精致。石壁上镶嵌着夜明珠，照得室内一片柔和的光芒。
[镜头10·旁白·神秘震撼] 在石室的中央——盘腿坐着一个人。
[镜头10·旁白·凝重] 不——不是人。
[镜头11·小女孩·清脆稚嫩淡定] 你来了。
[镜头11·沈念·握拳] 你知道我会来？
[镜头11·小女孩·睁眼] 蛇妖被你杀死的那天——我就知道了。我一直在等你。
[镜头12·小女孩·仰头震撼台词] 你身上有万妖之祖的血脉。你是妖皇的传人。我在这里等了三百年——就是在等一个拥有妖皇血脉的人出现。
[镜头12·沈念·瞳孔一缩震撼] 三百年？你到底是什么？
[镜头13·小女孩·歪头] 你可以叫我——封印。
[镜头13·沈念·短促] 封印？
[镜头13·小女孩·伸手掌心符文] 我不是妖——我是上古大能设下的封印。封印的里面——关着真正的大家伙。
[镜头14·小女孩·淡定] 一只上古妖王——全盛时期比你们大周朝所有的妖王加起来都强。它被封印在这里三千年了，封印的力量一直在减弱。再过一百年——它就会破封而出。
[镜头14·沈念·深吸气] 你需要我做什么？
[镜头14·小女孩·淡淡] 加固封印——或者——吸收它的力量。你有妖皇血脉，可以吞噬任何妖物的力量。如果你能在它破封之前把它吸收掉——你将成为新的妖皇。
[镜头14·沈念·心跳加速心声] 新的妖皇……
[镜头14·沈念] 我需要时间考虑。
[镜头14·小女孩·点头闭眼] 不急。我等你。
[镜头14·旁白·沉稳] 走出枯井时——夜色已深。
[镜头14·鼠精·好奇] 大人——下面有什么？
[镜头14·沈念·仰望星斗缓缓钩子] ——秘密。
[镜头14·旁白·沉稳收尾钩子] 冷宫深处的那个封印——已经等了她三百年。从今天起，沈念的目标不再只是冷宫——而是整个妖族的王座。
