# 冷宫有妖气_第16集_配音文案
# 旁白沉稳·略带凝重转黎明希望（炼化转折+决定边境+CHAR_12 首笑+新的一天）；沈念冷静沉稳+决定坚定+猎手嘲讽笑容+黎明深吸气；**封印小女孩本集声线 3 层**——冷淡"你又来了"→兴致评估"妖皇血脉果然霸道"→**罕见凝重警告**"差 2 境界送死"→**怔一下后极淡笑容"狡猾"**（CHAR_12 全篇第一次露笑！）→闭眼神秘"带一个人"；系统机械女声清越+三项升级铿锵；黑衣人本集不出场。

[镜头1·旁白·沉稳开场] 狐妖走后——沈念没有急着去找皇帝。
[镜头1·旁白·沉稳] 她先回了枯井。
[镜头2·封印·闭眼语气淡] 你——又来了。
[镜头2·旁白·沉稳] 封印小女孩没有睁眼。
[镜头3·沈念·递玉瓶平静] 我想借你这里——炼化一样东西。
[镜头3·旁白·沉稳] 沈念从怀中取出一个玉瓶——瓶中装着蛇妖的血液精华。她之前杀掉蛇妖时收集的，一直没来得及炼化。
[镜头3·封印·睁眼皱眉语气淡] 百年蛇妖——品相一般。
[镜头3·封印·继续] 不过对目前的你来说——够用了。
[镜头4·旁白·沉稳] 沈念盘腿坐下——将玉瓶中的妖血倒入掌心。
[镜头4·旁白·凝重] 冰凉的液体触碰到皮肤的瞬间——系统提示音响起。
[镜头4·系统提示·清越机械女声] 检测到可炼化妖血（百年蛇妖）。是否炼化？是 / 否。
[镜头4·沈念·平静] 是。
[镜头5·旁白·沉稳] 一股冰冷的力量从掌心涌入——沿着经脉流向全身。
[镜头5·旁白·凝重] 沈念体内的万妖血脉沸腾起来——暗金色的妖纹自行浮现，与蛇妖的冰冷妖气碰撞、融合。
[镜头6·旁白·沉稳] 封印小女孩饶有兴致地看着——淡金色的瞳孔微微发亮。
[镜头6·封印·语气淡但带兴致] 妖皇血脉果然霸道。蛇妖的属性是冰寒——正好和你的妖皇血脉互补。炼化之后——你的冰霜掌控会提升一个档次。
[镜头6·旁白·沉稳] 沈念没有说话——她全部精力都用在控制两股力量的平衡上。
[镜头7·旁白·凝重] 蛇妖的妖气阴冷、暴虐——像一条毒蛇在她体内横冲直撞。
[镜头7·旁白·凝重] 而万妖血脉则像一头猛虎，霸道地吞噬着每一丝外来力量。
[镜头7·旁白·凝重] 两种力量在沈念体内激战——她的身体时而发烫，时而冰冷，额头上冒出豆大的汗珠。
[镜头8·旁白·沉稳] 封印小女孩站起身——走到沈念面前，伸出小手按在她的额头。
[镜头8·旁白·凝重] 一道金色的符文从封印掌心亮起——没入沈念眉心。
[镜头8·旁白·沉稳] 沈念顿时感觉体内翻涌的力量平稳了许多——封印帮她镇压了蛇妖妖气的反噬。
[镜头8·沈念·咬牙眼依然闭] 多谢。
[镜头8·封印·淡] 别说话——专心。
[镜头9·旁白·沉稳] 大约过了一炷香的时间——系统提示再次响起。
[镜头9·系统提示·清越机械女声铿锵] 炼化成功。冰霜掌控技能升级——可同时凝聚 20 根冰锥；冰墙厚度增至 5 寸；新增技能"冰封"—— 可冻结方圆三丈内的地面，持续 5 息。
[镜头9·旁白·沉稳] 沈念睁开眼——长长地吐出一口白气。
[镜头10·旁白·沉稳] 她抬起手——掌心凝聚出一根冰锥，比以前更细、更尖、更坚硬。
[镜头10·旁白·沉稳] 她随手一挥——冰锥飞出，钉在石壁上，深入三寸，周围的岩石瞬间结了一层白霜。
[镜头10·沈念·满意点头] 威力提升了一倍不止。
[镜头11·旁白·沉稳] 封印小女孩退后几步——重新坐回石室中央，又恢复了那副冷淡的模样。
[镜头11·封印·语气淡] 你的天赋不错——但还不够。银牌妖位中期——在皇宫里勉强能自保。但面对真正的妖王——你连逃命的机会都没有。
[镜头11·沈念·站起坚定] 我知道。所以我要去——边境。
[镜头11·封印·语气淡] 边境？
[镜头11·沈念·坚定] 那里有一只千年虎妖——吞了它的妖血，我应该能晋升金牌妖位。
[镜头12·旁白·沉稳] 封印沉默了片刻——淡金色的眼睛直直地盯着沈念。
[镜头12·封印·语气罕见凝重] 千年虎妖——实力相当于金牌妖位中期。你现在才银牌妖位初期——差了两个小境界。你去了——是送死。
[镜头12·沈念·微微一笑] 谁说我要硬拼？
[镜头12·沈念·继续意味深长] 我是人，不是妖。人可以借刀杀人，可以设陷阱，可以下毒。办法——多的是。
[镜头13·旁白·沉稳] 封印怔了一下——然后嘴角微微上扬，露出一个极淡的笑容。
[镜头13·封印·极淡笑容语气仍淡] 有意思。你比我见过的任何妖皇传人——都要狡猾。
[镜头13·沈念·拍灰微笑] 这叫——智慧。
[镜头13·沈念·继续] 我走了。下次来给你带好吃的。
[镜头13·封印·摇头恢复冷淡] 我不吃东西。
[镜头13·沈念·歪头] 那带什么？书？
[镜头13·封印·闭眼神秘] 带一个人。
[镜头13·沈念·追问] 谁？
[镜头13·旁白·沉稳钩子] 封印没有回答——闭上眼睛，又变成了那尊精致的雕塑。
[镜头14·旁白·沉稳] 回到地面时——天已经快亮了。
[镜头14·旁白·沉稳] 东方泛起鱼肚白——冷宫的轮廓在晨光中逐渐清晰。
[镜头14·旁白·沉稳收尾钩子] 沈念站在井边——深深地吸了一口清晨的空气。
[镜头14·旁白·沉稳收尾扩展钩子] 新的一天——新的开始。
[镜头14·旁白·沉稳收尾扩展钩子] 冰霜掌控大升级+边境千年虎妖目标已定+借刀杀人设陷阱下毒的策略已立——沈念清晨踏入朝堂正式见皇帝——下一步：边境屠虎妖晋升金牌妖位。
