# 冷宫有妖气_第6集_配音文案
# 旁白沉稳；沈念冷冽镇定（本集全程文戏对峙·不露妖气）；小禾惊惶含泪；李尚宫刻板冷淡如通知；皇后王氏威仪+假笑+骤冷+反转换脸笑（情绪曲线大）；翠微柔软乖巧低声；系统机械音冷感。

[镜头1·旁白·低沉] 蛇妖死后的第三天，皇后的人来了。这一次，不是冒牌货。
[镜头2·李尚宫·刻板冷淡如通知] 林贵妃，皇后娘娘懿旨——宣你至坤宁宫，问话。
[镜头3·小禾·惊惶低声含泪] 娘娘……李尚宫从不来冷宫的，她来肯定没好事！上次张才人去问话，回来就疯了！
[镜头3·沈念·平静冷] 不去，她就有借口治我的罪。去，我倒要看看她能怎么样。
[镜头4·沈念心声·冷] 想用排场压我？我先把妆穿得比她想象中体面。
[镜头5·旁白·低沉] 从冷宫到坤宁宫，要走过整个后宫的权力梯度。
[镜头6·系统机械音·冷低] 感知到禁术残留·性质未明·已标记。
[镜头6·沈念心声·冷] 坤宁宫没有妖气……但有点别的东西。
[镜头7·沈念·跪礼平稳] 臣妾，参见皇后娘娘。
[镜头7·皇后·缓慢居高临下] 林贵妃，好久不见。本宫差点忘了，冷宫里还住着你这么一个人。
[镜头8·皇后·似笑非笑] 本宫听说你最近变了不少。冷宫里死了那么多人，你不但没事，反而活得越来越精神。这是怎么回事？
[镜头8·沈念·不急不慢] 臣妾也不知道。大概是老天爷觉得，臣妾命不该绝吧。
[镜头9·皇后·冷得像冰] 林婉儿，你少在本宫面前耍嘴皮子。柳娘子是怎么死的？冷宫里那些妖怪，又是谁杀的？
[镜头10·沈念·轻巧无辜] 柳娘子？臣妾不知道什么柳娘子。妖怪？臣妾一介弱女子，手无缚鸡之力，怎么杀得了妖怪——娘娘是不是听信了什么谣言？
[镜头10·沈念心声·冷] 该死的人不死，确实麻烦。
[镜头11·皇后·笑里藏刀] 好。林贵妃，你比以前聪明多了。本宫差点认不出你。
[镜头11·皇后·吩咐] 李尚宫——从今天起，派一个人去冷宫，照顾林贵妃起居。她一个人在冷宫，太孤单了。
[镜头12·翠微·柔软乖巧低声] 奴婢翠微，见过贵妃娘娘。
[镜头12·沈念心声·冷笑] 中妖。比柳娘子强。
[镜头13·小禾·瞪眼震惊压低] 娘娘！皇后派来的人您怎么还留下？她……她竟是妖？！
[镜头13·沈念·冷静压低] 拒绝了，皇后明天还会换一个我不认识的。留下她，至少我已经知道她是妖——而且，我能从她身上反摸到皇后的线索。
[镜头14·无台词·只环境音] [死寂·无呼吸·夜风·诡异]
[镜头15·沈念心声·冷] 不杀我，只听？……她在收集情报。那就让你监视吧。
[镜头15·沈念·几不可闻] 我有的是耐心。
