# 金睛缉妖录_第18集_配音文案
# 标题：塔影先躯

[镜头1·旁白·惊悚·快] 裴肃不急着取沈砚的眼。他要钥匙完好，便先让附身死士撕开沈砚身边的人。⚡钩子
[镜头2·沈砚·下令·快] 崔大人布阵！缉妖司护钦天监，苏窈铺朱砂，裴决开路！
[镜头3·旁白·宏大·快] 镇妖符一张张爆裂，暗红妖气从塔基涌出。塔顶竖瞳映出的不是人间，是四百年的牢狱。
[镜头4·崔监副·急迫·快] 塔基镇妖石是阵根。封印坏到哪一步，必须下塔看清。
[镜头5·旁白·阴冷·慢] 下塔的路黑、湿、陡。墙上密密麻麻，全是历代守约人的血手印。⚡钩子
[镜头6·沈砚·震动·慢] 这座塔，从来不是用石头镇着的。是用一代代人的命，一寸寸喂着的。
[镜头7·旁白·悬疑·常速] 一枚缺指血印停在墙上，像极了林缚那只缺了半指的手。沈砚后背猛地发凉。
[镜头8·裴决·警戒·快] 退后。塔底有东西醒了。
[镜头9·旁白·奇观·快] 圆形密室中央，镇妖石柱缠满断链。柱下青黑巨影盘踞，鳞、爪、竖瞳一点点探出牢笼。💥视觉奇观
[镜头10·旁白·惊恐·快] 裴决符火钉上去，只冒青烟。那团先躯纹丝不动，反而伸出一缕须，停在沈砚眼前三寸。⚡钩子
[镜头11·大妖先躯·诱惑·慢] 四百年了……我等的就是这样一双眼。孩子，睁开它。
[镜头12·大妖先躯·低语·慢] 让我看看，你师父临死前，究竟看见了什么。🪝集尾
