# 金睛缉妖录_第21集_配音文案
# 标题：众力重封

[镜头1·旁白·沉重·慢] 沈砚瞎了。塔底碎石冰冷，他看不见，只剩耳朵和地面的震颤。⚡钩子
[镜头2·崔监副·号令·快] 钦天监听令！按沈缇骑所指，移阵眼，对准裴肃心口第三肋！
[镜头3·沈砚·急促·快] 七盏灯本是导妖进京的。把它们倒过来，以妖引妖，做阵眼的定向引！
[镜头4·旁白·紧张·快] 大妖被揭穿后心神一乱，六盏铜灯的灯火同时一滞。机会，只有这一瞬。⚡钩子
[镜头5·沈砚·爆喊·快] 周衡！六盏失了主！
[镜头6·周衡·痛快·快] 这一回，我做翻案的人！
[镜头7·旁白·反转·快] 周衡冲进灯火间，将七盏灯芯一一拨转。昔日压案的人，竟成了重封大妖的最后一枚钉。💥反转
[镜头8·沈砚·听令·快] 裴决！
[镜头9·裴决·爆发·快] 在。
[镜头10·旁白·爽点·快] 短刀缠尽朱砂与镇妖符，狠狠贯入裴肃心口死结。大妖藏在人间最深的一缕本源，被凡人的刀挑破。💥爽点
[镜头11·旁白·宏大·慢] 朱砂泼落，阵咒合拢，妖气如潮水退回石柱。塔顶传来一声闷响，像一只巨眼不甘地合上。
[镜头12·大妖残音·幽远·慢] 你赢了这一回。可你知道你那双眼，究竟从哪儿来的么？
[镜头13·大妖残音·低语·慢] 四百年前，镇我的不只七家凡人。还有一位从西边来的、长着一双火一样的眼睛。🪝集尾
