# 金睛缉妖录_第23集_配音文案
# 标题：雪墓传承

[镜头1·旁白·清冷·慢] 承光十一年的第一场雪，落在林缚新墓上。来送的人不多，却都是真心。⚡钩子
[镜头2·周衡·苍老·慢] 我这一生，画了太多违心的押。临了能做一回写真话的人，够了。
[镜头3·周衡·郑重·常速] 沈砚，你师父没看错。这缉妖司，得有几个像你和林缚这样，认死理的人。
[镜头4·旁白·转折·常速] 周衡流放，裴肃伏诛，缉妖司大换血。崔监副要给沈砚记首功，升他做主事。
[镜头5·沈砚·平静·慢] 我眼睛瞎了，看不破妖了。可缉妖，从来不只靠一双眼。
[镜头6·沈砚·坚定·常速] 我想带新人。把怎么勘案、怎么辨痕、怎么不靠金睛也能揪出人皮和官袍底下的东西，一样一样教给他们。💥情绪兑现
[镜头7·旁白·反转·慢] 原来沈砚失去金睛后要做的，不是退场，而是把“看破”变成一群人的本事。💥反转
[镜头8·苏窈·清亮·常速] 往后验房签出去的每一份结论，都得是真话。
[镜头9·裴决·低沉·常速] 看得破的，有人替你看；看不破的，我替你拿。你们只管，认死理。
[镜头10·旁白·悬疑·慢] 入冬最冷的夜，沈砚独坐值房。贴身那半片旧铜，忽然极轻微地烫了一下。⚡钩子
[镜头11·旁白·续作钩·慢] 四百年前那位从西边来的火眼存在，七家旧约的余波，镇妖塔之外的其他封印，全都还悬着。
[镜头12·沈砚·低声·慢] 故事好像结束了。又好像，只是刚刚，睁开了眼。🪝集尾
